,ProjectName,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments,UpstreamDependencies,DownstreamDependencies,Vindex
187,sys-info-rs,1113,22,4,62,4,0,0,0,2,109,196,1,6,17,3
188,unix-socket,1111,29,2,29,1,0,0,302,0,2,0,1,1,32,4
189,rust-phf,1511,258,10,611,36,0,0,0,0,0,0,2,3,33,4
190,rust-phf,1511,258,10,611,36,0,0,0,0,0,0,2,2,6,4
191,lmdb-rs,1201,35,9,137,5,0,348,1,0,1,0,3,2,2,1
192,rusqlite,1220,225,8,696,75,0,0,125,0,0,0,2,1,2,2
193,rust-threadpool,1108,13,2,29,5,0,0,8,438,0,14,2,19,59,3
194,rust-mac,1107,9,4,17,0,3,3,2,7,2,2,2,5,14,5
195,glm-rs,1106,21,5,69,5,0,0,232,0,1,0,1,4,6,0
196,rust-argparse,1403,130,9,154,14,0,0,0,0,0,0,1,11,731,23
197,rust-systemd,1266,23,5,184,4,10,0,1,4,2,1,3,2,2,1
198,rust-systemd,1266,23,5,184,4,10,0,1,4,2,1,3,9,9,2
199,rust-igd,1106,18,4,72,8,14,0,34,111,0,0,1,3,4,2
200,yup-oauth2,694,15,4,108,8,0,0,12,8,2,0,2,9,275,1
201,external_mixin,1106,33,3,20,0,0,0,0,0,0,0,1,1,1,1
202,external_mixin,1106,33,3,20,0,0,0,0,0,0,0,1,2,2,1
203,external_mixin,1106,33,3,20,0,0,0,0,0,0,0,1,1,1,1
204,coreaudio-rs,1105,41,4,75,13,0,0,174,62,0,0,3,2,3,2
205,clap-rs,1108,1324,53,3455,449,0,0,0,0,0,0,2,3,980,10
206,lz4-rs,1106,35,7,143,5,0,0,0,0,0,0,1,5,21,2
207,synth,1122,67,2,83,4,0,98,316,41,0,0,2,16,3,0
208,draw_state,1106,4,6,33,16,0,0,0,21,0,0,5,1,4,4
209,quasi,1111,39,5,123,20,2,0,230,0,0,1,2,2,23,6
210,quasi,1111,39,5,123,20,2,0,230,0,0,1,2,1,15,4
211,serde,1577,1001,26,1476,490,0,0,0,0,0,2,3,3,361,13
212,gstreamer-rs,301,26,3,261,7,22,0,27,20,0,0,4,10,23,2
